"location","status_id","created_at","text"
"Upstate NY","1117137843787374592",2019-04-13 18:49:52,"@wijijinaut @SarahTaber_bww the history of agricultural economy throughout the US in the 18th-21st centuries. She points to the preponderance of land tenancy in the 1920's, but when asked how it got that way after farmers were given land 1800's -- she blames the victims, rather than examine the facts. <U+0001F914>SMH"
"Tijuana, Baja California","1117211001030529026",2019-04-13 23:40:34,"@Elijah37811 @LouDobbs @POTUS @realDonaldTrump The artist the actors the rock and rollers. Most of the phds. Anybody with any kind of sense at all. Is denouncing this guy. And you and the base white supremist Nazis divisionist pure racist. Environments getting bad the economy is falling. Sucking the economy. Too late then."
"Alaska, USA","1117210895959064576",2019-04-13 23:40:09,"Resource development is gaining momentum in Alaska. That’s putting the pressure on a scarce supply of industrial land - Anchorage Daily News https://t.co/GmXfWwpqIT"
"Alaska, USA","1117192231058677760",2019-04-13 22:25:58,"Resource development is gaining momentum in Alaska. That’s putting the pressure on a scarce supply of industrial land - Anchorage Daily News https://t.co/GmXfWw7Pkj"
"Kansas, USA","1117210874178154496",2019-04-13 23:40:03,"<U+0001F4E2> Trump‘s Immigration Policy Wins Black Votes https://t.co/HKsNsrPbfC https://t.co/YuncRsms7h"
"Oregon, USA","1117210849020534784",2019-04-13 23:39:57,"@brainerdtad @GOP Reading these comments makes me aware of how financially illiterate many people are.
Since Republicans passed tax reform The Economy Is Soaring, And Now So Is The Deficit. That’s A Bad Combination.
https://t.co/CeilyYLIce"
"Oregon, USA","1117151383394721792",2019-04-13 19:43:40,"@ML_Rudolph @GOP Corporate America rewarded investors by rolling out $1 trillion of stock buybacks in 2018. Yet a lasting boom in job-creating investments has yet to materialize. 
https://t.co/5aM3uYpAfk"
"Oregon, USA","1117172872563183616",2019-04-13 21:09:03,"@SenateGOP @WhiteHouse @SenJohnBarrasso Since Republicans passed tax reform            
The Economy Is Soaring, And Now So Is The Deficit. That’s A Bad Combination.   
   https://t.co/CeilyYLIce"
"Oregon, USA","1116789678714130432",2019-04-12 19:46:23,"@GOP @realDonaldTrump DONALD J TRUMP IS  MORON WHO BANKRUPTED CASINOS 
What’s really scary, says Goldwein, is that the CBO projects that the  rate of U.S. economic expansion will drop below 2% by 2020, and stay in  the sub-2% range for the next eight years.
https://t.co/m5DGdngJiO"
"Oregon, USA","1116719760043986944",2019-04-12 15:08:33,"@GOP Here is how the Republicans are doing
America's Disastrous New Normal: A Booming Economy and Soaring Deficits
https://t.co/m5DGdngJiO"
"Oregon, USA","1116777983904063488",2019-04-12 18:59:54,"@GOP BIG LOSS FOR AMERICANS 
That scenario is a radical departure from the normally healthy,  self-correcting interplay between economic growth and budget  shortfalls—and its likely long-term consequences are worth losing sleep  over.
https://t.co/m5DGdngJiO"
"New York, NY","1117210799590785025",2019-04-13 23:39:46,"Re-engineering the Liberal Arts degree https://t.co/IRrcnhM5ui"
"Wilmington, Delaware","1117210736592338946",2019-04-13 23:39:31,"@AmplifyCapital @OffGridMedia And Mexico's economy would take a big hit."
"Chicago, IL","1117210721492848640",2019-04-13 23:39:27,"Anyone who is interested in the #future of this country should read @RayDalio 
on the causes and dangers of the lack of #economicMobility 
#economy #finance #capitalism #longread
https://t.co/vkeZXU0iJy"
