"location","status_id","created_at","text"
"Salt Lake City, UT","1117212557201174528",2019-04-13 23:46:45,"Did you know that so many people at the U can’t fucking stand you guys and how much money you all get yearly but we can’t say anything or else every straight guy will lecture us on how football is important! https://t.co/KXOUEKTGne"
"Salt Lake City, UT","1117215347310862337",2019-04-13 23:57:50,"@utahathletics @kengarff Would be cool if some of this money could go to literally any other money-starved department on campus. Or maybe even edible food at the HC? Or maybe more parking? Literally anything else."
"Beaumont, TX","1117215342936432640",2019-04-13 23:57:49,"Tcorr, the newest underground sensation ranging from trap metal to singing brings you his newest hit:   
https://t.co/TfRhu77KX9"
"Georgia, USA","1117215339589328896",2019-04-13 23:57:48,"@YoungRichGoGo85 its a waste of money in the long run . think bout what u could of had"
"Illinois, USA","1117215333008531456",2019-04-13 23:57:46,"@hulu_support 5 cents to skip an ad is not much, but add it up over the course of a month and that can add up to quite a bit of money. And 5 cents is so cheap that people would likely do it without giving it much thought. Then by the end of the month ended up spending maybe $10 worth"
"Houston, TX","1117215326423474177",2019-04-13 23:57:45,"@QweenFay Lol I am in my house and still spending the money"
"Beloit, WI","1117215318210953216",2019-04-13 23:57:43,"@jaypo1961 @BareZachow1 Because nobody thought that wrestling was a sport that could make money and Bono has proved that can happen. How do all the other schools in the Big Ten make it work, but Wisconsin can't? Nobody said it would be easy, but it can happen."
"New York","1117215311332134912",2019-04-13 23:57:41,"Bernie Sanders, recently a millionaire, pointed out that he supports progressive taxation: “If I make a lot of money, you make a lot of money.” https://t.co/7GO6DiF2hh via @HuffPostPol"
"Washington, DC","1117215308719304706",2019-04-13 23:57:41,"@The_Big_Quiet @Ishml Oh! I thought it was a variation of musical chairs to play at kids' birthday parties. Can they do jellybeans instead of money?"
"California, USA","1117215307989303296",2019-04-13 23:57:40,"@TomSteyer Since you think it needs to happen, stop spending so much money to just talk about it, and do it.

@realDonaldTrump"
"Bridgeton","1117215300792066048",2019-04-13 23:57:39,"Long/Short Ethereum movements with up to 100x Leverage at PrimeXBT! <U+0001F4B0><U+0001F4B0>

Sign up straight away and trade your $79 into $7500:

<U+2705> https://t.co/P5zbr025aN <U+2705>

Earn money even when the price is going down! <U+0001F4C9><U+0001F4C9>

$COSM - $ABBC - $BTC - $ABBC - $BTC - $MHC - $ETH - $MCO - https://t.co/ohNTd0AQv3"
"Lake View, NY","1117215299160498176",2019-04-13 23:57:38,"@TrumpStudents @RyanAFournier Walls work, but the $15 billion can save more money if spend elsewhere such as driver education."
"Richmond, VA","1117215298216706049",2019-04-13 23:57:38,"@caseyliss Hey Casey, on ATP I heard you needed some design and UX help for your avatar app. I wouldn’t expect any money for my time because I’m looking to get some iOS experience.

I’m local, so give me a shout if you’re interested."
"Washington, DC","1117215292998987781",2019-04-13 23:57:37,"@DeanBaker13 @semironic No cuts for hospitals?  They take more money than docs, drugs, or med equipment"
"United States","1117215287068307456",2019-04-13 23:57:35,"Trump Gives Money Away ! https://t.co/ReS7MEeWqe"
"California","1117215279614808064",2019-04-13 23:57:34,"@tacobell just ordered your food through postmates and got refried beans in place of meat on all of my items. Nights sorta ruined and I dont have money for a second order. Cheers. <U+0001F942>"
"Grand Island, NE","1117215270848720897",2019-04-13 23:57:32,"Two big deals at @FonnerRacing on Sunday afternoon. 1.) the nation's largest Pick 5 Jackpot carryover of $54,689; 2.) an one-track, live-money handicapping contest. See you at Fonner on Sunday. @dinsdaleauto @TwinSpires https://t.co/WrsYm0YDCs"
"Los Angeles, CA","1117215262414004224",2019-04-13 23:57:30,"@Taliwhoah Shit I’m poppin em out already, ima need the money to come today. Lol"
"Sycamore","1117215258416906240",2019-04-13 23:57:29,"Buy/Sell Ethereum changes with up to 100x Leverage at PrimeXBT! <U+0001F929><U+0001F389>

Register immediately and trade your $150 into $15000:

<U+2705> https://t.co/MskQwv3G1G <U+2705>

Make money even if it is declining! <U+0001F4C9><U+0001F4C9>

$TRX - $XBT - $BTG - $CRO - $QNT - $BEAM - $THETA - $WICC - $BTC - $DGD https://t.co/mRxPt6nGqR"
"southern Ontario","1117215251773235200",2019-04-13 23:57:27,"@Jjx3465zsw @HillaryClinton @RedHourBen at this rate, there is no one going to beat Trump ..... I'll put money on it"
"New Jersey, USA","1117215248740749312",2019-04-13 23:57:26,"Only thing I worry ab is making this fucking money"
"Portland, OR","1117215243346649088",2019-04-13 23:57:25,"@sianoresist Pedophila, lying, rape, murder, inciting violence, treason, bribery, lechery, hatred, racism, conspiracy with a foreign regime, tax evasion, money laundering, adultery, incest or the desire for, misogyny, homophobia, antiMuslim, xenophobia, sex trafficking, and golden showers https://t.co/uotdd79LbT"
"Dubai","1117215221947490304",2019-04-13 23:57:20,"Niggas always talkin bout “Where yo lil boyfriend at” like naw chill out that’s my BIG boyfriend, BIG dick, BIG guns, BIG money fuck is you sayin <U+0001F602><U+0001F602><U+0001F602>"
"Kentucky, USA","1117215216511651840",2019-04-13 23:57:19,"The [LeBron James Family Foundation’s] support affords I Promise more resources than the average school, but a veteran principal in the district said, “It doesn’t take money to build relationships,...or to teach students how to love.” #urbaned  https://t.co/sfLb5IFyNO"
"Los Angeles, CA","1117215213038780417",2019-04-13 23:57:18,"Tcorr, the newest underground sensation ranging from trap metal to singing brings you his newest hit: 
https://t.co/n0Uqnownvq"
"Philadelphia, PA","1117215212346728449",2019-04-13 23:57:18,"@V_the_Obscure Depends on the work/money situation. I LOATHE jobhunting, so if I can find a job, I think we deserve to go"
"Wisconsin","1117215205388369921",2019-04-13 23:57:16,"@BleacherReport @BR_NBA God damn these graphics you post are always so good! I’d pay lots of money to get one printed and have it in a frame."
"Chicago, Illinois ","1117215197914173441",2019-04-13 23:57:14,"@Akira27251847 @trboxing When Loma destorys Teo within 6, then what? He’s running out of champions and big names to fight. Tank doesn’t want any, Berchelt doesn’t seem to either. Commey, nope... Mikey probably won’t go back to 135 and will vacate staying at 140-147 fighting only big money fights"
"Walker, LA","1117215189991079937",2019-04-13 23:57:12,"@POTUS @realDonaldTrump  Hey President Trump, the. Hicago Mayor was on national news today welcoming the illegal immigrants. Let’s use money to transport them there and drop them off!"
"Hell, MI","1117215183724851200",2019-04-13 23:57:11,"Look up Hello Kitty and Gundam crossover, DSP tries an unhealthy diet and the DSP marriage tax money scam. That's all I can think of for now. Love you mate."
"Toronto","1117215179039657984",2019-04-13 23:57:10,"@NewLifeBrampton That connection money tho... <U+0001F440>"
"Toronto, Ontario","1117215177965834240",2019-04-13 23:57:09,"@tmdt2016 Or as I laid out in detail in this article for Sprott Money in Sept, just before stocks peaked on Sept 20th. Will likely do same for next crash in Oct 2019.
https://t.co/68cEQsT9jc"
"Toronto","1117215176267390976",2019-04-13 23:57:09,"@AndrewScheer How did you manage to amass more money on social welfare than PMJT got for his trust fund?? Canadians need to know. While ur at it release your donor list.  #cndpoli"
